Titles,Multiplayer,Year Released,Developers,Publishers,Region Released,Plot,Gameplay
Advance Wars 2: Black Hole Rising,Yes (SPM),2003,Intelligent Systems,Nintendo,"NA, PAL","While the Allied Nations were still recovering from the war in Cosmo Land, the Black Hole Army had already recovered and has decided to launch a large-scale invasion on Macro Land. Along with the original Black Hole army's commanding officers (COs), four new COs were recruited, under the command of Sturm. Sturm orders each Black Hole CO to invade and capture each of the four continents controlled by the four other armies from the original game: Orange Star was to be taken by Flak, Blue Moon by Lash, Yellow Comet by Adder, and Green Earth by Hawke. Lash also invented several new war weapons like the Black Cannon and the Mini Cannons that were to be put to use in this invasion. The four allied armies must now work together to drive Black Hole out of their world once and for all.
Once the Black Hole troops are driven from the Allied Nations' continents, their COs convene in Black Hole territory, near Black Hole's base of operations. Here they fight Sturm, the mastermind behind the invasion. The final battle takes place in front of the Death Ray, a powerful new weapon guarding the entrance to a missile, which, if not subdued in time, would destroy half of Wars World.
The Death Ray is eventually destroyed by the COs of the Allied Nations, who manage to disarm the missile and corner Sturm. In an act of desperation, Sturm attempts to blow up the base and inflict damage on Wars World by self-destructing the missile. Andy attempts to stop Sturm to no avail. However, in a surprising turn of events, Hawke, second in command to Sturm, betrays his leader by killing him with Black Storm before the self-destruct is triggered. Hawke takes over as leader of Black Hole, and along with Flak, Lash, and Adder, leaves Macro Land with the few troops he has left.[4]
","The goal of the player in Black Hole Rising, common to all of the Nintendo Wars series, is to defeat all of the enemies, sometimes by completing special objectives. Generally, the player can win by defeating all of the enemy's troops, or by capturing the enemy's headquarters. In certain campaign maps, there are special objectives, such as capturing or destroying certain key buildings, such as a Black Cannon, a new property found in Black Hole Rising.[6]
The Campaign mode in Black Hole Rising differs from its predecessor Advance Wars in that the mission selection is non-linear. The campaign takes place over the game's five continents, each focusing on one of the five countries in the game.[6] The player plays as one or more commanding officers of the protagonist nations, fighting against the antagonist of the game, Black Hole. Each continent begins with several missions that the player can select from. Upon meeting certain requirements, new missions may become available.[4] When the regular campaign has been completed, a more difficult Hard Campaign, in the vein of Advance Wars's Advance Campaign, can be unlocked, generally featuring modified maps and starting units.[4]
Completion of a campaign mission or War Room will net the player a rank based on several criteria.[7] When the campaign is completed, the player is given an overall rank, rewarding higher ranks with more unlockable content in the in-game shop.[4]
Many of Black Hole Rising's additional modes remains unchanged from its predecessor. In War Room Players are put in maps wherein they must defeat enemies who are usually given an advantage at the start. Versus mode allows the players to use either a pre-existing map or a user-created map and set up a game with customized settings. Versus mode can be used to create games played against the computer AI or other players by using hotseat gameplay. Multiplayer games with more than one game console is possible with Link mode, and requires the use of a Game Boy Advance Game Link Cable.[8]
In Design mode, players can edit color palettes for existing commanding officers (after the player has unlocked the palettes) or create their own maps.[7] In the map editor, the size of the map is fixed and the player cannot choose to use any of the new Black Hole buildings introduced in Black Hole Rising. There are also certain rules the player must adhere to in order for the map to be considered playable. Maps created in this mode can be saved on the game cartridge and can be played in multiplayer modes or sent and received to other game cartridges using multiple consoles with a Game Boy Advance Game Link Cable.[4]
Battle Maps remains as the game's shop, allowing players to purchase new content for the game by spending points earned in the other game modes. New content becomes available for purchase as the player progresses in the game. Available content for purchase includes new commanding officers, maps, and palettes to allow players to recolor commanding officers in Design mode.[4]
Black Hole Rising is nearly identical to the previous game in terms of core gameplay; the only additions were to the overall content of the game. Eight new commanding officers join the original game's eleven to make a total of nineteen. Many new maps were added for Versus mode and War Room, although most of the new maps and commanding officers are not available for use at the start of the game, and must be purchased from the in-game shop after certain conditions are met.[4]
Only one new unit, the Neotank, was added to the original set in Advance Wars.[9][10] Two new terrain features were introduced: the Missile Silo and the Pipeline (along with its breakable Pipe Seams).[9] The Missile Silo can be fired by foot troops to deal area of effect damage, and pipelines act as impassable walls. Because of its function as a wall, players can use it to create maps smaller than the default dimension the map editor provides, something that was not possible in the game's predecessor.
Along with the two terrain features, various new special Black Hole buildings were also introduced in Black Hole Rising, although they are only found in the game's campaign. These properties directly affected the gameplay of missions they are found in, creating new objectives for the player such as destroying or capturing one of these special buildings. An example of such a building is the large Black Cannon, which fires on one non-Black Hole unit each turn, dealing damage to it.[9] Destructible properties such as the Black Cannon have ""health"", represented by a heart icon. When units attack the property, the number decreases; when it reaches zero, the property is destroyed.[4]
One of the key added features of Black Hole Rising over its predecessor is the Super CO Power. The CO Power, introduced in Advance Wars, was a special ability unique to each commanding officer that could be triggered as the commanding officer's CO Meter filled by battle. CO Powers affected the game either by providing benefits for allied units and/or by inflicting negative effects on the enemy's units.[11] Black Hole Rising changed the format of the CO Meter to use small and large stars, although it essentially still functions as a fillable meter. A regular CO Power is still available by filling the small stars, but a more powerful Super CO Power, introduced in Black Hole Rising, can be triggered by filling the large stars as well.[9]
Although a Super CO Power is in many cases better than the normal CO Power, the CO Meter is drained differently depending on which power was activated. While Super CO Power will drain the CO Meter completely, the normal CO Power would leave players with some leftover charge on the CO Meter depending on how much existed before the CO Power. This allows for more strategy than Advance Wars since the player must now decide between using weaker abilities more frequently or greater abilities less frequently.[4]
"
Adventure of Tokyo Disney Sea,,2001,,Konami,JP,NaN,NaN
The Adventures of Jimmy Neutron vs. Jimmy Negatron,Yes (SPM),2002,HumanSoft,THQ,"NA, PAL","The beginning of the game takes place in a museum in Retroville.
Jimmy decides to build a time machine to impress Cindy.  He sets the travel time to 50 years in the past.  When Jimmy decides to activate the time machine with him and Goddard inside, they are instead teleported into cages in the lair of Jimmy Negatron.  Jimmy Negatron is an evil version of Neutron from another dimension.  Negatron plans on taking over Retroville and Jimmy must stop him.
","Similar to the PC version of the previous game, Jimmy Neutron vs Jimmy Negatron is a third-person 3D video game which has gameplay largely consisting of puzzles and problem-solving, with Jimmy having to solve various puzzles to progress, such as gathering required items or passing obstacles. Besides puzzle solving, there are enemies that the player must avoid or battle with in boss fights to progress through certain locations. Throughout the game, the player primarily plays Jimmy Neutron, the protagonist.
"
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,Yes,2004,Tantalus,THQ,"NA, PAL",NaN,NaN
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,No,2003,Helixe,THQ,"NA, PAL","Jimmy has an assignment to write a book report, and Jimmy decides to invent the Virtual World Reproduction Machine (VWRM), a device that will show the class what the book is about like a movie. Jimmy places his Jet Fusion book into the machine and it malfunctions, thus turning Retroville into a virtual world. Then Professor Calamitous kidnaps Jet Fusion and it's up to Jimmy to save him. Throughout the game, the player has to collect pieces for major and minor inventions, which help Jimmy continue to the next level. The one major invention in each level helps defeat the boss in the boss level, while the one minor invention in each world helps Jimmy battle his enemies and various obstacles. The minor inventions also come with a primary and secondary action.
",NaN
Aero the Acro-Bat|Acrobat KidJP,No,2002,Atomic Planet Entertainment,Metro3D,"NA, PAL, JP","A spoiled, rich kid named Edgar Ektor was a regular attendant at The World of Amusement Circus and Funpark, but was banned after a failed prank almost killed a lion. 20 years later, Edgar became a powerful and evil industrialist. Aided by Zero the Kamikaze Squirrel and his Psycho Circus gang, Edgar sabotages the funpark and kidnaps all the circus performers. Aero the Acro-Bat is the circus' greatest star and the only hope for rescuing the performers (including his girlfriend Aeriel) and putting a stop to Edgar's evil schemes.
","The levels are played in typical 2D platforming style. In order to clear them, the player must accomplish certain tasks so that the exit warp can be revealed. Those tasks include passing through hoops, stepping on platforms until they disappear, riding roller coasters, etc. There are 4 worlds with 5 levels in each one, and the levels are large, many of them containing awkwardly positioned spikes that kill instantly.[6]
Aero can attack enemies by shooting limited stars or by doing an aerial diagonal drill attack at his target when he is in the air.[6]
If enough points are collected at the end of a level, a bonus level can be played, in which Aero has dive into a pool. The bonus level is a vertical platform level in the Genesis version. When Sunsoft converted the game for the SNES they changed the bonus level to utilise Mode 7 as a straightforward level to maneuver above an overworld map.[8]
"
Agassi Tennis Generation,Yes,2003,Aqua Pacific,DreamCatcher Interactive,"NA, PAL",NaN,"In the PlayStation 2 version, the game features 16 tournaments and 12 courts. It has various court surfaces and three game modes: Quick Match, Arcade and Championship. There are 32 tennis players with varying abilities in speed, strength, and stamina. Championship offers players 10,000 dollars and a number of choices on which to spend it, e.g. coaches, personal trainers, talent agents etc.
Each individual can help improve an athlete's abilities in specific areas over time. Quick Match drops players onto a court for a single match, while Arcade is designed to offer players a more simplified control scheme. Championship has players competing against a series of fictitious opponents on each of the 12 courts to win prize money. The PlayStation 2 version of the game features motion-capture animation from Agassi himself.[1]
In the Game Boy Advance version, there are four modes: Quick Match, Arcade, Championship, and Multiplayer Multipack, which requires a link cable, another Game Boy Advance, and another copy of the game. Gamers choose from ten tennis player characters to compete in both single and double matches in courts set in the UK, France, Germany, Australia, Italy and the United States.
"
Agent Hugo: Roborumble,,2007,Program-Ace,ITE Media,PAL,NaN,NaN
Aggravation / Sorry / Scrabble Junior,,2005,Gravity-I,DSI Games,"NA, PAL",NaN,NaN
Aggressive Inline,,2002,Full Fat,AKA Acclaim,"NA, PAL",NaN,"The gameplay focuses on completing goals given by talking to characters within each level. While some goals involve gaining a certain number of points in a specific time, many of the goals involve doing tricks on and off of pieces of the environment (for example: one level asks the player to grind three traffic lights, each one placed at a larger distance and facing a different direction). Another innovative feature focused on a player leveling system where the player would perform better in different areas of skating skill by practicing them repeatedly. For instance, if the player does many air tricks throughout the course of the game, each successful trick would create points in the player's air trick statistics. When the points reach a certain number, the player's air tricks will move up a level, making it easier to perform air tricks faster and more efficiently. The same actions apply to grinding, speed, wall riding, skating backward, etc.
"
AirForce Delta StormNA|Deadly SkiesPAL|Airforce Delta IIJP,No,2002,Mobile21,Konami,"NA, PAL, JP",NaN,"The gameplay of AirForce Delta Storm is very similar to its predecessor Airforce Delta in the sense that the player controls various aircraft to engage enemies and accomplish missions. A new feature of AFDS is the 'World Map' where the player moves his aircraft across the map through various checkpoints and flies to a mission. Some of these checkpoints can be 'recaptured' by the enemy so the player must make careful account of how much 'Range' his aircraft has; 'Range' allows the player to continue across the map without having to deal with enemy forces. When the player locates the mission on-screen the player flies his aircraft towards the mission icon (either a land-based structure or a ship) and selects it.
There are three levels of controls, ranging from Novice, which allows to pick up the game and play without having to learn how to control pitch and yaw and how to do a complex roll during a corkscrewing backflip. There is Expert, where the players can control the pitch and yaw of the plane and even do rolls. Then there is Ace, in which the players can use the airbrake feature and the throttle sticks in place after they let go of the increase/decrease speed buttons.
"
Aka-chan Dōbutsuen,,2004,,TDK Core,JP,NaN,NaN
Akagi: Yami ni Maiorita Tensai,,2006,,Culture Brain,JP,"The story revolves around the mahjong gambling exploits of Shigeru Akagi (赤木 しげる, Akagi Shigeru) (voiced by Masato Hagiwara in the anime adaptation). After a death-defying game of chicken one evening in 1958, Akagi nonchalantly enters a yakuza mahjong parlor to shake the police's trail. Although he is unfamiliar with the rules of mahjong, his gambling intuition saves a small-time gambler, Nangō (南郷) (voiced by Rikiya Koyama), and grants him a seat at the gambling table. As the night progresses, the stakes are raised both within the game and for Akagi, who is under the suspicion of the local policeman, Yasuoka (安岡) (voiced by Tessho Genda). However, Akagi manages to defeat Keiji Yagi (矢木 圭次, Yagi Keiji) (voiced by Wataru Takagi)—despite Yagi's cheating during the game—and impresses the members of the gambling house.
Yasuoka arranges a new match against other yakuza members, in which Akagi defeats Ichikawa (市川) (voiced by Hideyuki Tanaka), a blind professional mahjong player with very accurate hearing. After defeating him, Akagi gains mythical status at 13 but then disappears, becoming a legendary figure all over Japan. Six years later, Yasuoka orders Yukio Hirayama (平山 幸雄, Hirayama Yukio) (voiced by Ginpei Sato) to pretend to be Akagi to impress some yakuza bosses and make money. Meanwhile, Nangō finds the real Akagi, now aged 19 and working at a toy factory. Akagi, however, does not need to play with Hirayama as Hirayama is defeated by Urabe (浦部) (voiced by Morio Kazama), a professional mahjong player for another yakuza group who is later defeated by Akagi.
Akagi's ultimate rival is Iwao Washizu (鷲巣 巌, Washizu Iwao) (voiced by Masane Tsukayama), an old man who has made a lot of money and become one of the most powerful people in the Japanese underworld. Having built up massive funds from shady dealings in Japan's post-war era, Washizu tempts people to bet their lives for the chance to win a large amount of money. Washizu and Akagi play mahjong in an unusual way that Washizu calls ""Washizu Mahjong,"" in which transparent glass tiles replace most of the tiles and make the game different in many ways.
Three years after the fight with Washizu, Akagi is last seen winning big in Tehonbiki, a gambling game that leaves no room for chance, and wandering around local gambling dens with Osamu Nozaki (野崎 治, Nozaki Osamu) (voiced by Yūdai Satō), a freckled young coworker from the toy factory they used to work at.
",NaN
